"YEAR","STATE","EVTYPE","COUNT","FATALITIES","INJURIES","PROPDMG","CROPDMG"
1957,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",37,0,0,0,0
1958,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",13,0,0,0,0
1958,"arkansas","TORNADO",7,0,0,0.30256,0
1958,"arkansas","HAIL",10,0,0,0,0
1959,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",24,0,0,0,0
1959,"arkansas","HAIL",11,0,0,0,0
1959,"arkansas","TORNADO",12,3,39,1.6,0
1960,"arkansas","TORNADO",29,1,58,8.88525,0
1960,"arkansas","HAIL",7,0,0,0,0
1960,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",14,0,0,0,0
1961,"arkansas","TORNADO",40,7,100,9.38,0
1961,"arkansas","HAIL",25,0,0,0,0
1961,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",20,0,0,0,0
1962,"arkansas","HAIL",12,0,0,0,0
1962,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",16,0,0,0,0
1962,"arkansas","TORNADO",6,0,4,0.325,0
1963,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",13,0,0,0,0
1963,"arkansas","TORNADO",2,0,0,0.025,0
1963,"arkansas","HAIL",6,0,0,0,0
1964,"arkansas","HAIL",11,0,0,0,0
1964,"arkansas","TORNADO",29,1,7,1.92,0
1964,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",24,0,0,0,0
1965,"arkansas","TORNADO",24,6,225,26.94525,0
1965,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",19,0,0,0,0
1965,"arkansas","HAIL",17,0,0,0,0
1966,"arkansas","HAIL",23,0,0,0,0
1966,"arkansas","TORNADO",5,0,2,0.5075,0
1966,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",16,0,0,0,0
1967,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",32,0,0,0,0
1967,"arkansas","TORNADO",20,0,28,7.0525,0
1967,"arkansas","HAIL",32,0,0,0,0
1968,"arkansas","TORNADO",23,65,723,8.42025,0
1968,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",59,0,0,0,0
1968,"arkansas","HAIL",30,0,0,0,0
1969,"arkansas","HAIL",20,0,0,0,0
1969,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",51,0,0,0,0
1969,"arkansas","TORNADO",2,0,1,0.0275,0
1970,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",62,0,0,0,0
1970,"arkansas","HAIL",11,0,0,0,0
1970,"arkansas","TORNADO",21,1,85,6.735,0
1971,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",52,0,0,0,0
1971,"arkansas","HAIL",16,0,0,0,0
1971,"arkansas","TORNADO",16,0,29,1.8775,0
1972,"arkansas","HAIL",41,0,0,0,0
1972,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",19,0,0,0,0
1972,"arkansas","TORNADO",14,0,3,5.88253,0
1973,"arkansas","TORNADO",54,5,396,9.90384,0
1973,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",72,0,0,0,0
1973,"arkansas","HAIL",33,0,0,0,0
1974,"arkansas","TORNADO",14,4,114,26.2025,0
1974,"arkansas","HAIL",47,0,0,0,0
1974,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",65,0,0,0,0
1975,"arkansas","HAIL",60,0,0,0,0
1975,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",70,0,0,0,0
1975,"arkansas","TORNADO",23,8,86,28.63025,0
1976,"arkansas","TORNADO",33,9,124,29.7155,0
1976,"arkansas","HAIL",39,0,0,0,0
1976,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",39,0,0,0,0
1977,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",55,0,0,0,0
1977,"arkansas","HAIL",28,0,0,0,0
1977,"arkansas","TORNADO",20,1,7,0.4505,0
1978,"arkansas","HAIL",45,0,0,0,0
1978,"arkansas","TORNADO",57,2,34,14.4585,0
1978,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",23,0,0,0,0
1979,"arkansas","HAIL",25,0,0,0,0
1979,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",67,0,0,0,0
1979,"arkansas","TORNADO",47,1,59,48.9105,0
1980,"arkansas","HAIL",56,0,0,0,0
1980,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",30,0,0,0,0
1980,"arkansas","TORNADO",26,1,113,20.125,0
1981,"arkansas","HAIL",50,0,0,0,0
1981,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",39,0,0,0,0
1981,"arkansas","TORNADO",12,0,10,1.3325,0
1982,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",199,0,0,0,0
1982,"arkansas","HAIL",94,0,0,0,0
1982,"arkansas","TORNADO",102,19,218,176.94571,0
1983,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",223,0,7,0,0
1983,"arkansas","HAIL",66,0,0,0,0
1983,"arkansas","TORNADO",17,0,6,4.58053,0
1984,"arkansas","HAIL",189,0,37,0,0
1984,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",164,2,8,0,0
1984,"arkansas","TORNADO",31,7,44,238.205,0
1985,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",150,0,5,0,0
1985,"arkansas","HAIL",121,0,0,0,0
1985,"arkansas","TORNADO",12,3,16,53.35006,0
1986,"arkansas","HAIL",109,0,0,0,0
1986,"arkansas","TORNADO",3,0,0,0.25,0
1986,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",169,3,35,0,0
1987,"arkansas","HAIL",36,0,0,0,0
1987,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",124,1,11,0,0
1987,"arkansas","TORNADO",2,6,100,25.25,0
1988,"arkansas","HAIL",107,0,0,0,0
1988,"arkansas","TORNADO",21,6,101,148.775,0
1988,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",182,2,24,0,0
1989,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",256,0,15,0,0
1989,"arkansas","HAIL",160,0,1,0,0
1989,"arkansas","TORNADO",19,0,6,1.35,0
1990,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",192,1,6,0,0
1990,"arkansas","HAIL",107,0,0,0,0
1990,"arkansas","TORNADO",21,2,8,0.77525,0
1991,"arkansas","HAIL",139,0,0,0,0
1991,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",227,0,7,0,0
1991,"arkansas","TORNADO",15,0,14,3.8505,0
1992,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",306,0,1,0,0
1992,"arkansas","TORNADO",6,0,1,25.55025,0
1951,"california","TORNADO",1,0,0,2.5,0
1952,"california","TORNADO",1,0,0,0,0
1953,"california","TORNADO",2,0,0,0.005,0
1954,"california","TORNADO",1,0,0,0.00025,0
1955,"california","TORNADO",3,0,0,0.0025,0
1955,"california","THUNDERSTORM / THUNDERSTORM WIND",4,0,0,0,0
1956,"california","TORNADO",2,0,2,0.05,0
1957,"california","THUNDERSTORM / THUNDERSTORM WIND",8,0,0,0,0
1957,"california","HAIL",2,0,0,0,0
1957,"california","TORNADO",1,0,0,3e-05,0
1958,"california","TORNADO",10,0,0,0.0555,0
1958,"california","HAIL",12,0,0,0,0
1958,"california","THUNDERSTORM / THUNDERSTORM WIND",13,0,0,0,0
1959,"california","HAIL",2,0,0,0,0
1959,"california","THUNDERSTORM / THUNDERSTORM WIND",2,0,0,0,0
1959,"california","TORNADO",1,0,0,0.0025,0
1960,"california","TORNADO",1,0,0,0,0
1960,"california","THUNDERSTORM / THUNDERSTORM WIND",3,0,0,0,0
1960,"california","HAIL",1,0,0,0,0
1961,"california","HAIL",1,0,0,0,0
1961,"california","TORNADO",1,0,3,0.025,0
1962,"california","TORNADO",4,0,0,0.03025,0
1962,"california","THUNDERSTORM / THUNDERSTORM WIND",1,0,0,0,0
1964,"california","TORNADO",4,0,0,0.00775,0
1964,"california","HAIL",2,0,0,0,0
1964,"california","THUNDERSTORM / THUNDERSTORM WIND",1,0,0,0,0
1965,"california","TORNADO",5,0,0,0.02531,0
1965,"california","HAIL",1,0,0,0,0
1966,"california","THUNDERSTORM / THUNDERSTORM WIND",2,0,0,0,0
1966,"california","HAIL",1,0,0,0,0
1966,"california","TORNADO",5,0,10,0.2575,0
1967,"california","HAIL",2,0,0,0,0
1967,"california","TORNADO",5,0,0,0.0075,0
1969,"california","THUNDERSTORM / THUNDERSTORM WIND",2,0,0,0,0
1969,"california","TORNADO",1,0,0,0,0
1970,"california","TORNADO",2,0,0,0.025,0
1970,"california","THUNDERSTORM / THUNDERSTORM WIND",5,0,0,0,0
1971,"california","TORNADO",2,0,0,0,0
1971,"california","HAIL",1,0,0,0,0
1972,"california","THUNDERSTORM / THUNDERSTORM WIND",4,0,0,0,0
1972,"california","TORNADO",4,0,0,0,0
1972,"california","HAIL",2,0,0,0,0
1973,"california","THUNDERSTORM / THUNDERSTORM WIND",7,0,0,0,0
1973,"california","TORNADO",1,0,0,0.025,0
1974,"california","THUNDERSTORM / THUNDERSTORM WIND",3,0,0,0,0
1974,"california","TORNADO",3,0,1,0.02753,0
1975,"california","THUNDERSTORM / THUNDERSTORM WIND",4,0,0,0,0
1975,"california","TORNADO",3,0,0,0.03,0
1975,"california","HAIL",1,0,0,0,0
1976,"california","TORNADO",6,0,0,0.025,0
1976,"california","THUNDERSTORM / THUNDERSTORM WIND",3,0,0,0,0
1977,"california","TORNADO",3,0,4,5.025,0
1977,"california","THUNDERSTORM / THUNDERSTORM WIND",3,0,0,0,0
1978,"california","TORNADO",14,0,7,3.13009,0
1978,"california","THUNDERSTORM / THUNDERSTORM WIND",6,0,0,0,0
1979,"california","TORNADO",4,0,0,2.52503,0
1979,"california","HAIL",5,0,0,0,0
1979,"california","THUNDERSTORM / THUNDERSTORM WIND",1,0,0,0,0
1980,"california","THUNDERSTORM / THUNDERSTORM WIND",13,0,0,0,0
1980,"california","TORNADO",9,0,4,3.08,0
1980,"california","HAIL",6,0,0,0,0
1981,"california","TORNADO",3,0,0,0.03,0
1981,"california","THUNDERSTORM / THUNDERSTORM WIND",8,0,0,0,0
1981,"california","HAIL",2,0,0,0,0
1982,"california","THUNDERSTORM / THUNDERSTORM WIND",11,0,0,0,0
1982,"california","TORNADO",14,0,3,5.11003,0
1982,"california","HAIL",7,0,0,0,0
1983,"california","THUNDERSTORM / THUNDERSTORM WIND",23,0,0,0,0
1983,"california","HAIL",5,0,0,0,0
1983,"california","TORNADO",10,0,34,26.03028,0
1984,"california","TORNADO",2,0,0,0.00253,0
1984,"california","THUNDERSTORM / THUNDERSTORM WIND",9,0,0,0,0
1984,"california","HAIL",1,0,0,0,0
1985,"california","TORNADO",3,0,0,0.2525,0
1985,"california","THUNDERSTORM / THUNDERSTORM WIND",4,0,4,0,0
1985,"california","HAIL",1,0,0,0,0
1986,"california","THUNDERSTORM / THUNDERSTORM WIND",6,0,0,0,0
1986,"california","TORNADO",8,0,1,5.28003,0
1986,"california","HAIL",9,0,0,0,0
1987,"california","TORNADO",4,0,0,25.5,0
1987,"california","THUNDERSTORM / THUNDERSTORM WIND",5,0,0,0,0
1987,"california","HAIL",4,0,0,0,0
1988,"california","TORNADO",6,0,0,0.30275,0
1988,"california","THUNDERSTORM / THUNDERSTORM WIND",10,0,0,0,0
1989,"california","TORNADO",4,0,0,0.0025,0
1989,"california","HAIL",3,0,0,0,0
1989,"california","THUNDERSTORM / THUNDERSTORM WIND",6,0,0,0,0
1990,"california","TORNADO",5,0,0,0.2525,0
1990,"california","THUNDERSTORM / THUNDERSTORM WIND",12,0,8,0,0
1990,"california","HAIL",6,0,0,0,0
1991,"california","TORNADO",16,0,3,0.75025,0
1991,"california","HAIL",6,0,0,0,0
1991,"california","THUNDERSTORM / THUNDERSTORM WIND",4,0,0,0,0
1992,"california","TORNADO",20,0,6,5.88825,0
1992,"california","THUNDERSTORM / THUNDERSTORM WIND",5,0,0,0,0
1950,"colorado","TORNADO",3,0,1,0.05,0
1951,"colorado","TORNADO",8,0,2,0.02831,0
1952,"colorado","TORNADO",3,0,6,0.3,0
1953,"colorado","TORNADO",14,0,0,0.05809,0
1954,"colorado","TORNADO",9,0,0,0.011,0
1955,"colorado","TORNADO",19,0,1,0.56331,0
1955,"colorado","THUNDERSTORM / THUNDERSTORM WIND",3,0,0,0,0
1955,"colorado","HAIL",14,0,0,0,0
1956,"colorado","THUNDERSTORM / THUNDERSTORM WIND",12,0,0,0,0
1956,"colorado","TORNADO",10,0,0,0.00078,0
1956,"colorado","HAIL",11,0,0,0,0
1957,"colorado","THUNDERSTORM / THUNDERSTORM WIND",5,0,0,0,0
1957,"colorado","TORNADO",26,0,1,0.02087,0
1957,"colorado","HAIL",8,0,0,0,0
1958,"colorado","HAIL",54,0,0,0,0
1958,"colorado","TORNADO",18,0,5,0.04521,0
1958,"colorado","THUNDERSTORM / THUNDERSTORM WIND",15,0,0,0,0
1959,"colorado","HAIL",9,0,0,0,0
1959,"colorado","THUNDERSTORM / THUNDERSTORM WIND",6,0,0,0,0
1959,"colorado","TORNADO",1,0,0,0.025,0
1960,"colorado","HAIL",14,0,0,0,0
1960,"colorado","TORNADO",14,2,3,0.30806,0
1960,"colorado","THUNDERSTORM / THUNDERSTORM WIND",9,0,0,0,0
